STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,INCIDENT_BOROUGH
27,10/5/2005,QUEENS
22,2/5/2007,BRONX
11,7/4/2014,RICHMOND / STATEN ISLAND
15,4/29/2017,QUEENS
2,3/18/2017,RICHMOND / STATEN ISLAND
2,5/7/2017,RICHMOND / STATEN ISLAND
7,10/9/2008,RICHMOND / STATEN ISLAND
55,2/22/2007,BROOKLYN
32,11/26/2014,QUEENS
7,3/11/2019,RICHMOND / STATEN ISLAND
5,1/6/2020,RICHMOND / STATEN ISLAND
29,7/7/2018,QUEENS
11,6/22/2021,QUEENS
33,11/12/2016,BRONX
33,9/3/2009,QUEENS
37,2/14/2008,MANHATTAN
28,3/7/2014,BRONX
37,5/18/2021,BROOKLYN
31,9/26/2008,MANHATTAN
20,1/25/2019,BRONX
22,8/29/2009,QUEENS
37,11/12/2011,BROOKLYN
30,3/23/2007,QUEENS
16,1/6/2020,QUEENS
25,3/8/2015,BRONX
31,2/1/2016,MANHATTAN
17,1/6/2020,MANHATTAN
7,9/2/2008,RICHMOND / STATEN ISLAND
9,9/11/2010,RICHMOND / STATEN ISLAND
19,1/6/2020,BRONX
28,1/6/2020,BROOKLYN
22,1/27/2010,BRONX
30,3/17/2013,BROOKLYN
53,4/24/2008,QUEENS
6,5/12/2008,RICHMOND / STATEN ISLAND
3,7/6/2011,RICHMOND / STATEN ISLAND
33,8/25/2009,BROOKLYN
31,3/22/2018,BRONX
47,12/30/2014,BRONX
7,2/23/2008,RICHMOND / STATEN ISLAND
34,6/3/2011,QUEENS
34,11/26/2012,MANHATTAN
28,6/7/2006,QUEENS
21,8/27/2016,BRONX
19,10/7/2005,BRONX
23,9/13/2015,MANHATTAN
4,6/24/2015,RICHMOND / STATEN ISLAND
47,12/31/2005,MANHATTAN
26,12/25/2005,QUEENS
38,6/14/2005,MANHATTAN
50,3/8/2006,BROOKLYN
4,10/18/2014,RICHMOND / STATEN ISLAND
5,9/17/2006,RICHMOND / STATEN ISLAND
21,7/10/2014,MANHATTAN
25,3/4/2014,MANHATTAN
31,11/5/2014,QUEENS
4,10/8/2006,RICHMOND / STATEN ISLAND
11,1/20/2008,RICHMOND / STATEN ISLAND
25,8/7/2008,BRONX
13,3/14/2006,RICHMOND / STATEN ISLAND
40,1/7/2014,QUEENS
19,11/20/2015,QUEENS
32,7/8/2007,QUEENS
18,3/16/2010,MANHATTAN
31,3/9/2007,QUEENS
31,2/23/2005,BRONX
28,8/8/2005,QUEENS
18,1/7/2020,QUEENS
36,8/2/2009,BROOKLYN
5,1/7/2020,RICHMOND / STATEN ISLAND
23,5/10/2012,BROOKLYN
16,6/29/2008,BRONX
27,1/7/2020,MANHATTAN
42,7/23/2006,QUEENS
24,9/27/2012,MANHATTAN
5,7/10/2017,RICHMOND / STATEN ISLAND
89,2/18/2014,BROOKLYN
27,1/22/2021,BROOKLYN
34,1/23/2014,QUEENS
51,9/4/2005,BROOKLYN
5,6/18/2011,RICHMOND / STATEN ISLAND
45,1/8/2014,MANHATTAN
5,4/30/2005,RICHMOND / STATEN ISLAND
31,11/8/2006,BROOKLYN
8,1/14/2019,RICHMOND / STATEN ISLAND
24,12/7/2007,QUEENS
35,1/4/2014,BRONX
5,6/22/2012,RICHMOND / STATEN ISLAND
28,8/25/2006,BRONX
22,9/22/2010,BRONX
25,12/23/2015,BROOKLYN
25,12/4/2012,BROOKLYN
19,8/23/2010,QUEENS
7,3/28/2015,RICHMOND / STATEN ISLAND
4,1/14/2005,RICHMOND / STATEN ISLAND
27,2/1/2019,QUEENS
21,7/25/2013,QUEENS
29,12/27/2015,QUEENS
9,7/11/2005,RICHMOND / STATEN ISLAND
17,1/7/2020,BRONX
29,5/19/2021,QUEENS
4,9/14/2017,RICHMOND / STATEN ISLAND
9,10/31/2015,RICHMOND / STATEN ISLAND
28,5/25/2021,MANHATTAN
20,1/26/2018,QUEENS
23,10/4/2014,MANHATTAN
27,12/2/2012,MANHATTAN
21,9/14/2019,BRONX
42,1/7/2020,BROOKLYN
28,9/5/2016,MANHATTAN
2,3/11/2015,RICHMOND / STATEN ISLAND
24,9/23/2006,BRONX
45,11/5/2012,BROOKLYN
20,6/30/2017,MANHATTAN
6,4/2/2014,RICHMOND / STATEN ISLAND
27,2/22/2009,MANHATTAN
23,11/10/2014,QUEENS
47,3/12/2015,BROOKLYN
23,12/27/2015,BROOKLYN
28,12/22/2005,QUEENS
35,12/20/2010,MANHATTAN
20,1/8/2020,BRONX
17,7/30/2016,BRONX
19,3/1/2012,BRONX
33,10/11/2008,BROOKLYN
50,5/8/2010,QUEENS
30,5/20/2017,BROOKLYN
34,2/11/2007,QUEENS
32,3/7/2014,BROOKLYN
20,1/13/2013,BROOKLYN
9,10/12/2012,RICHMOND / STATEN ISLAND
41,4/6/2014,BROOKLYN
36,2/22/2013,BROOKLYN
40,10/25/2011,BROOKLYN
14,7/31/2018,QUEENS
11,7/24/2005,RICHMOND / STATEN ISLAND
6,11/30/2017,RICHMOND / STATEN ISLAND
29,12/28/2007,BRONX
35,11/10/2007,MANHATTAN
28,1/26/2018,BRONX
4,11/21/2009,RICHMOND / STATEN ISLAND
20,1/8/2020,QUEENS
22,10/25/2014,BRONX
30,4/8/2008,MANHATTAN
24,10/14/2015,BROOKLYN
27,11/13/2017,BROOKLYN
19,12/25/2006,QUEENS
27,8/3/2007,BRONX
48,8/10/2006,BROOKLYN
54,7/3/2005,BROOKLYN
26,5/6/2011,QUEENS
4,1/8/2020,RICHMOND / STATEN ISLAND
35,1/8/2020,BROOKLYN
22,5/19/2009,QUEENS
38,9/29/2008,BROOKLYN
19,10/26/2015,QUEENS
20,11/15/2016,BRONX
17,9/21/2005,QUEENS
18,11/27/2016,MANHATTAN
29,1/8/2020,MANHATTAN
23,9/12/2015,QUEENS
52,2/12/2006,BROOKLYN
19,7/28/2012,MANHATTAN
36,12/22/2005,BROOKLYN
39,10/19/2008,BRONX
5,11/23/2019,RICHMOND / STATEN ISLAND
14,7/28/2014,MANHATTAN
9,8/9/2007,RICHMOND / STATEN ISLAND
32,4/8/2021,QUEENS
31,7/23/2008,QUEENS
41,11/20/2008,BROOKLYN
6,5/2/2009,RICHMOND / STATEN ISLAND
19,1/9/2020,QUEENS
27,9/26/2013,BROOKLYN
6,1/2/2019,RICHMOND / STATEN ISLAND
5,1/9/2020,RICHMOND / STATEN ISLAND
34,5/28/2021,BROOKLYN
27,8/25/2017,BROOKLYN
43,9/21/2007,MANHATTAN
45,7/5/2007,BROOKLYN
32,12/19/2005,BRONX
33,10/10/2008,BRONX
38,4/3/2007,BROOKLYN
17,1/9/2020,BRONX
4,6/6/2006,RICHMOND / STATEN ISLAND
20,4/1/2021,BRONX
5,3/13/2015,RICHMOND / STATEN ISLAND
21,10/31/2017,QUEENS
47,11/24/2005,MANHATTAN
4,11/28/2018,RICHMOND / STATEN ISLAND
31,5/16/2010,BROOKLYN
25,8/21/2014,BROOKLYN
26,10/2/2014,BROOKLYN
42,3/20/2013,BROOKLYN
33,5/31/2011,BROOKLYN
20,9/29/2018,BRONX
25,12/19/2010,MANHATTAN
4,4/9/2007,RICHMOND / STATEN ISLAND
48,5/22/2011,BROOKLYN
27,1/9/2020,MANHATTAN
21,5/23/2011,QUEENS
3,7/23/2007,RICHMOND / STATEN ISLAND
46,9/22/2006,MANHATTAN
49,8/8/2006,BROOKLYN
33,10/29/2018,BROOKLYN
21,3/10/2016,BRONX
29,1/9/2020,BROOKLYN
45,4/22/2007,BRONX
25,5/30/2017,BRONX
5,11/7/2018,RICHMOND / STATEN ISLAND
3,1/25/2018,RICHMOND / STATEN ISLAND
33,12/22/2017,QUEENS
35,10/15/2005,BROOKLYN
15,4/11/2013,BRONX
24,1/5/2010,QUEENS
8,6/6/2008,RICHMOND / STATEN ISLAND
27,1/10/2020,BRONX
66,11/27/2014,BRONX
22,1/10/2020,QUEENS
29,12/26/2015,BROOKLYN
122,7/18/2006,QUEENS
42,1/29/2011,MANHATTAN
14,10/5/2012,BRONX
13,11/26/2008,RICHMOND / STATEN ISLAND
27,7/19/2018,MANHATTAN
21,8/7/2016,QUEENS
41,10/3/2011,BROOKLYN
14,5/16/2013,QUEENS
23,2/4/2012,BRONX
29,7/28/2007,BRONX
25,10/12/2008,BRONX
42,10/24/2010,BROOKLYN
28,9/19/2006,BRONX
25,1/10/2020,BROOKLYN
4,6/8/2017,RICHMOND / STATEN ISLAND
13,8/15/2019,MANHATTAN
11,10/24/2010,RICHMOND / STATEN ISLAND
12,7/23/2017,BRONX
27,4/28/2012,BROOKLYN
29,2/27/2012,BROOKLYN
22,4/6/2016,BRONX
22,10/15/2010,BRONX
13,5/30/2018,BRONX
6,7/12/2006,RICHMOND / STATEN ISLAND
3,8/25/2017,RICHMOND / STATEN ISLAND
26,4/4/2009,BRONX
31,6/11/2008,MANHATTAN
46,1/20/2009,MANHATTAN
29,3/1/2009,QUEENS
16,8/1/2015,MANHATTAN
28,1/20/2018,BRONX
19,1/27/2017,MANHATTAN
37,1/27/2006,BRONX
10,6/19/2005,RICHMOND / STATEN ISLAND
20,8/26/2014,BRONX
25,5/31/2010,BRONX
36,10/21/2017,MANHATTAN
23,6/4/2015,QUEENS
84,12/25/2009,BROOKLYN
28,9/6/2016,BRONX
45,12/8/2005,MANHATTAN
31,9/3/2012,QUEENS
7,5/19/2010,RICHMOND / STATEN ISLAND
75,12/17/2013,MANHATTAN
34,7/30/2007,MANHATTAN
17,12/16/2014,MANHATTAN
30,7/29/2007,MANHATTAN
35,2/13/2015,QUEENS
27,11/6/2018,BROOKLYN
3,11/21/2019,RICHMOND / STATEN ISLAND
9,10/10/2019,RICHMOND / STATEN ISLAND
29,11/9/2019,BROOKLYN
22,1/17/2013,MANHATTAN
48,2/1/2007,BROOKLYN
52,3/27/2005,BROOKLYN
21,10/2/2013,BRONX
25,7/29/2014,BROOKLYN
45,2/27/2015,BROOKLYN
25,6/28/2007,QUEENS
20,7/14/2016,MANHATTAN
20,4/16/2010,BRONX
39,1/20/2015,BROOKLYN
24,8/16/2016,MANHATTAN
21,2/16/2013,QUEENS
18,7/10/2018,QUEENS
7,12/22/2011,RICHMOND / STATEN ISLAND
